mask,n,share,target_rate,baseline_auc,mean_abs_error,pred_std,uncertainty,year_mode,compound_mode,avg_tyre_frac,avg_stint_gap
midprob_35_65,45617,0.10387803433984606,0.5035622684525506,0.6025182241674898,0.4842608506900162,0.15397166352166974,0.4439576658293314,2024,HARD,0.6211354487807264,15.888616086108248
uncertainty_top15,65871,0.15,0.4697514839610754,0.7167026430641337,0.42943669789620476,0.17899928332646833,0.45635903648555287,2024,HARD,0.686729188836889,14.83065385374444
hard_compound_uncertain,75535,0.17200664936011295,0.5196266631362945,0.7773547287091137,0.385398620521416,0.16083259981659281,0.4089827825727913,2024,HARD,0.5596019854100153,15.896816045541803
cat_specialist_disagree,65871,0.15,0.43471330327458213,0.7919810559757842,0.36766548579528874,0.14302059009550555,0.39344539670176615,2024,HARD,0.7278704765685117,12.678492811707732
high_gap_uncertain,38690,0.08810402149656146,0.3959937968467304,0.8090156206414616,0.3479492792602233,0.15175314590784703,0.3859026624388193,2024,HARD,0.2943285040205857,33.60516929439132
extreme_tyre_uncertain,40022,0.09113722275356378,0.4335115686372495,0.825006477540121,0.33721884158857646,0.16513567146686048,0.4092808744730154,2024,MEDIUM,1.2031898413855548,-0.5656139123482085
disagreement_top25,109785,0.25,0.4443229949446646,0.8307308335684783,0.33633762421576635,0.1772530894463761,0.4089568623167063,2024,HARD,0.6876285604793395,14.032499886141094
disagreement_top15,65871,0.15,0.47972552413049746,0.8471402963128217,0.3218340069939897,0.19669457458411868,0.4256775747475694,2024,HARD,0.7297381274138935,13.450501738245965
year2023_hard,5335,0.0121487452748554,0.16888472352389877,0.9040503785449636,0.16878485305454588,0.13800416992308254,0.3619230660877211,2023,MEDIUM,1.115355245226801,12.693158388003749
rank_unstable_top15,65871,0.15,0.044116530795038786,0.9506268435107084,0.05230381035618368,0.06828297020809594,0.20216540990570306,2023,MEDIUM,0.8482370449764606,8.639522703465865
