source,metric_path,metric,value
experiments\20260519_150920_phase45_hard_calibrated_ensemble_summary.json,rank_auc,rank_auc,0.9491353202470248
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[33].oof_auc,oof_auc,0.9491334294997349
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[3].oof_auc,oof_auc,0.9491334294997349
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[34].oof_auc,oof_auc,0.9491287901642993
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[4].oof_auc,oof_auc,0.9491287901642993
experiments\20260519_150804_phase45_hard\summary.json,selected[4].sequential_auc,sequential_auc,0.9491252673965385
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[8].oof_auc,oof_auc,0.9491220012083512
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[35].oof_auc,oof_auc,0.9491220012083512
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[5].oof_auc,oof_auc,0.9491208352377624
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[36].oof_auc,oof_auc,0.9491208352377624
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[37].oof_auc,oof_auc,0.9491204759970786
experiments\20260519_150804_phase45_hard\summary.json,selected[3].sequential_auc,sequential_auc,0.9491159304246977
experiments\20260519_150804_phase45_hard\summary.json,selected[2].sequential_auc,sequential_auc,0.9491131680909273
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[38].oof_auc,oof_auc,0.9491031140529491
experiments\20260519_161041_phase6_rank_fusion\summary.json,top[39].oof_auc,oof_auc,0.9490990446159973
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[9].oof_auc,oof_auc,0.9490990446159973
experiments\20260519_150804_phase45_hard\summary.json,selected[1].sequential_auc,sequential_auc,0.949092804557821
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[6].oof_auc,oof_auc,0.9490897218615246
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[10].oof_auc,oof_auc,0.9490884409644986
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[11].oof_auc,oof_auc,0.9490875241069251
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[12].oof_auc,oof_auc,0.9490786479469884
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[13].oof_auc,oof_auc,0.9490614026861329
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[14].oof_auc,oof_auc,0.9490592428987383
experiments\20260519_150804_phase45_hard\summary.json,selected[0].best_global_auc,best_global_auc,0.9490559171244879
experiments\20260519_150804_phase45_hard\summary.json,selected[0].sequential_auc,sequential_auc,0.9490559171244879
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[15].oof_auc,oof_auc,0.9490486750509324
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[16].oof_auc,oof_auc,0.949046640421925
experiments\20260519_150804_phase45_hard\summary.json,selected[1].best_global_auc,best_global_auc,0.9490450463686592
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[7].oof_auc,oof_auc,0.9490433008369816
experiments\20260519_153956_phase6_lambdarank\summary.json,best_blends[17].oof_auc,oof_auc,0.9490421034547932
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[8].oof_auc,oof_auc,0.949038897454549
experiments\20260519_160100_phase6_xgbrank\summary.json,best_blends[9].oof_auc,oof_auc,0.9490362711617963
experiments\20260519_150804_phase45_hard\summary.json,selected[2].best_global_auc,best_global_auc,0.9490323608975527
